熱負荷[kW],処理負荷[kW],負荷率（実質）[-],低圧[MPa],高圧[MPa],圧縮機消費電力[kW],室外機ファン消費電力[kW],室内機消費電力（合算）[kW],圧縮機COP[-],システムCOP[-],室内機1処理負荷[kW],室内機1顕熱比[-],室内機2処理負荷[kW],室内機2顕熱比[-],室内機3処理負荷[kW],室内機3顕熱比[-],室内機4処理負荷[kW],室内機4顕熱比[-],室内機5処理負荷[kW],室内機5顕熱比[-],室内機6処理負荷[kW],室内機6顕熱比[-],室内機7処理負荷[kW],室内機7顕熱比[-],室内機8処理負荷[kW],室内機8顕熱比[-],室内機9処理負荷[kW],室内機9顕熱比[-],室内機10処理負荷[kW],室内機10顕熱比[-],室内機11処理負荷[kW],室内機11顕熱比[-],室内機12処理負荷[kW],室内機12顕熱比[-],室内機13処理負荷[kW],室内機13顕熱比[-],室内機14処理負荷[kW],室内機14顕熱比[-],室内機15処理負荷[kW],室内機15顕熱比[-],室内機16処理負荷[kW],室内機16顕熱比[-]
35.00,35.00,0.133,1.101,1.946,12.55,1.65,1.12,2.79,2.28,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,3.88,1.000,4.05,1.000,4.63,0.991,0.00,0.000,4.13,1.000,2.78,1.000,6.26,1.000,2.43,1.000,0.00,0.000,3.55,1.000,3.31,1.000
25.00,25.00,0.102,1.049,1.922,10.14,1.65,1.12,2.47,1.94,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,4.04,1.000,4.47,1.000,5.21,0.925,0.00,0.000,4.76,0.966,0.00,0.000,0.00,0.000,2.72,1.000,0.00,0.000,3.80,1.000,0.00,0.000
23.70,23.70,0.099,1.053,1.951,9.91,1.65,1.12,2.39,1.87,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.08,0.935,5.46,0.904,0.00,0.000,0.00,0.000,0.00,0.000,6.57,1.000,2.77,1.000,0.00,0.000,3.82,1.000,0.00,0.000
19.90,19.90,0.087,1.014,1.934,8.94,1.65,1.12,2.23,1.70,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.50,0.899,6.22,0.847,0.00,0.000,0.00,0.000,0.00,0.000,8.18,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
18.80,18.80,0.078,1.046,1.939,8.16,1.65,1.12,2.30,1.72,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,5.23,0.922,5.87,0.871,0.00,0.000,0.00,0.000,0.00,0.000,7.70,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
19.10,19.10,0.074,1.102,1.960,7.77,1.65,1.12,2.46,1.81,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,4.08,1.000,4.36,1.000,0.00,0.000,0.00,0.000,0.00,0.000,5.73,1.000,0.00,0.000,0.00,0.000,2.42,1.000,2.51,1.000
20.10,20.10,0.081,1.102,1.990,8.35,1.65,1.12,2.41,1.81,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,1.32,1.000,1.32,1.000,3.03,1.000,3.07,1.000,2.18,1.000,1.76,1.000,0.00,0.000,3.94,1.000,0.00,0.000,0.00,0.000,1.37,1.000,2.09,1.000
7.40,7.40,0.028,1.103,1.927,3.39,1.65,1.12,2.19,1.20,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,1.30,1.000,1.28,1.000,1.26,1.000,1.09,1.000,0.00,0.000,1.68,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.78,1.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
